"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
4245, 2.392360715037206e-01, 1.655000621966878e-01, 2.918212627420512e-02, 2.757739471382254e-04, 2.760499969763924e-07, 2.144691731953469e+00, 7.166502932577819e-05, 9.573311961903880e-06, 8.393758907172240e+03, 4.355759141429259e-04, 9.990000000005752e-01, 9.999999994247080e-04, 2.129613023707424e+01, 2.596633491376289e+02, 2.540349960327148e+02, 2.363779823661842e+01, 1.944602347247338e-04
4246, 2.250647739647891e-01, 1.632896484054763e-01, 2.879237068428444e-02, 2.753090600664240e-04, 2.755846445614362e-07, 2.141077043531516e+00, 6.685027023260772e-05, 8.924618755891469e-06, 8.379575740736740e+03, 4.348402050627514e-04, 9.990000000005427e-01, 9.999999994573384e-04, 2.124459442118064e+01, 2.594723804605297e+02, 2.540349960327148e+02, 2.364650332067038e+01, 1.879388124128522e-04
4247, 2.123085195258328e-01, 1.612999505208182e-01, 2.844153326376066e-02, 2.748553166200528e-04, 2.751304469261720e-07, 2.137548981398615e+00, 6.232648492808804e-05, 8.315446264119582e-06, 8.365732611986077e+03, 4.341221368005027e-04, 9.990000000005118e-01, 9.999999994882171e-04, 2.119437951402268e+01, 2.592864132227252e+02, 2.540349960327148e+02, 2.365498948151147e+01, 1.815845399471723e-04
4248, 2.007802652611475e-01, 1.595017939197555e-01, 2.812446973945428e-02, 2.744180790961996e-04, 2.746927717352800e-07, 2.134149243125337e+00, 5.813092424738478e-05, 7.750856759763304e-06, 8.352393122906895e+03, 4.334301949211132e-04, 9.990000000004828e-01, 9.999999995170790e-04, 2.114607088166250e+01, 2.591076044331431e+02, 2.540349960327148e+02, 2.366315744506796e+01, 1.754714904597906e-04
4249, 1.903109742158616e-01, 1.578688125186430e-01, 2.783653105944303e-02, 2.740039344186602e-04, 2.742782125060120e-07, 2.130929049625450e+00, 5.430479032435560e-05, 7.236358671383645e-06, 8.339758237624897e+03, 4.327748027602404e-04, 9.990000000004563e-01, 9.999999995436960e-04, 2.110038547873746e+01, 2.589385942641589e+02, 2.540349960327148e+02, 2.367088546858247e+01, 1.696903885058057e-04
4250, 1.807471368440085e-01, 1.563770621714660e-01, 2.757349522475452e-02, 2.736204757588854e-04, 2.738943700105374e-07, 2.127947447104913e+00, 5.089038518971295e-05, 6.777547986067447e-06, 8.328059618642999e+03, 4.321679758060710e-04, 9.990000000004322e-01, 9.999999995678680e-04, 2.105814733015114e+01, 2.587824150772579e+02, 2.540349960327148e+02, 2.367803345078249e+01, 1.643455074783639e-04
4251, 1.719485201225209e-01, 1.550046695806443e-01, 2.733150538286825e-02, 2.732760203234047e-04, 2.735495697808709e-07, 2.125269112469262e+00, 4.792884192678534e-05, 6.379824389719927e-06, 8.317551015501605e+03, 4.316228751006276e-04, 9.990000000004106e-01, 9.999999995894172e-04, 2.102025655191146e+01, 2.586423771879020e+02, 2.540349960327148e+02, 2.368444816763070e+01, 1.595507494573207e-04
4252, 1.637861113367645e-01, 1.537315115723549e-01, 2.710701327530178e-02, 2.729792645948028e-04, 2.732525170047448e-07, 2.122961672205558e+00, 4.545861433183761e-05, 6.048205991910983e-06, 8.308497745390112e+03, 4.311532617028566e-04, 9.990000000003919e-01, 9.999999996081913e-04, 2.098765213174855e+01, 2.585219322025752e+02, 2.540349960327148e+02, 2.368996960501942e+01, 1.554249354107295e-04
4253, 1.561402263876655e-01, 1.525389200336426e-01, 2.689672721006217e-02, 2.727388907089473e-04, 2.730119025088214e-07, 2.121092641369764e+00, 4.351491425562496e-05, 5.787267962272303e-06, 8.301164685099688e+03, 4.307728738690201e-04, 9.990000000003759e-01, 9.999999996240651e-04, 2.096127001240236e+01, 2.584245198418190e+02, 2.540349960327148e+02, 2.369443812157396e+01, 1.520865009888470e-04
4254, 1.488987548828420e-01, 1.514094081848543e-01, 2.669756379609090e-02, 2.725632156954644e-04, 2.728360516480593e-07, 2.119726698713387e+00, 4.213127202506845e-05, 5.601361688083667e-06, 8.295805595281292e+03, 4.304948721278029e-04, 9.990000000003630e-01, 9.999999996369497e-04, 2.094200687849474e+01, 2.583534402161210e+02, 2.540349960327148e+02, 2.369770053772788e+01, 1.496489140585988e-04
4255, 1.419555162797883e-01, 1.503264141737767e-01, 2.650660273199223e-02, 2.724612008464991e-04, 2.727339346848578e-07, 2.118933570130006e+00, 4.135692183711398e-05, 5.496934296596807e-06, 8.292694204825975e+03, 4.303334370833369e-04, 9.990000000003533e-01, 9.999999996468125e-04, 2.093083858391424e+01, 2.583123423227570e+02, 2.540349960327148e+02, 2.369958833810714e+01, 1.482356606890715e-04
4256, 1.352087029775046e-01, 1.492740582318365e-01, 2.632104398611930e-02, 2.724674668964473e-04, 2.727402070090690e-07, 2.118982811286314e+00, 4.141530566636540e-05, 5.503511380796275e-06, 8.292889610345548e+03, 4.303433585870988e-04, 9.990000000003461e-01, 9.999999996539294e-04, 2.093161140054980e+01, 2.583159390945394e+02, 2.540349960327148e+02, 2.369942904615084e+01, 1.483334541083223e-04
4257, 1.285593875278688e-01, 1.482369098315849e-01, 2.613816674015634e-02, 2.730882189061751e-04, 2.733615803947175e-07, 2.123810138257754e+00, 4.329532964032345e-05, 5.750967071839367e-06, 8.311832276894625e+03, 4.313256979244850e-04, 9.990000000003361e-01, 9.999999996639895e-04, 2.099987104846221e+01, 2.585692396762174e+02, 2.540349960327148e+02, 2.368781493983613e+01, 1.569711361393255e-04
4258, 1.218061566492055e-01, 1.470294451445919e-01, 2.592525813758676e-02, 2.745595892108411e-04, 2.748344235483413e-07, 2.135250812461813e+00, 4.616694714472172e-05, 6.127004864457758e-06, 8.356720902022977e+03, 4.336541615088569e-04, 9.990000000003131e-01, 9.999999996869091e-04, 2.116200069061004e+01, 2.591691493498757e+02, 2.540349960327148e+02, 2.366035921138760e+01, 1.774872732642962e-04
4259, 1.151149800788232e-01, 1.455237567133387e-01, 2.565976464261623e-02, 2.761875060184532e-04, 2.764639699094107e-07, 2.147908239505500e+00, 4.793652683070032e-05, 6.356034841830542e-06, 8.406384105864669e+03, 4.362304233834705e-04, 9.990000000002855e-01, 9.999999997144220e-04, 2.134232756604132e+01, 2.598369730577618e+02, 2.540349960327148e+02, 2.362990238128623e+01, 2.003061165964262e-04
